Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
aporrinhar,v,4.32,2.90,4.44,7.51,2.48,12.00
aportar,v,4.27,2.61,4.19,6.82,6.45,633.00
aportuguesar,v,4.47,2.78,4.35,6.99,3.04,21.00
aposentar,v,4.17,3.85,4.35,6.16,8.57,5294.00
apossar-se,v,3.41,2.06,3.41,8.37,5.00,149.00
apostar,v,3.62,4.52,3.84,5.40,9.58,14402.00
aprazer,v,3.95,2.61,4.02,7.68,2.83,17.00
aprazo,v,4.26,2.69,4.10,7.21,3.22,25.00
apreçar,v,4.33,2.76,4.23,7.47,3.22,25.00
apreender,v,3.84,3.48,4.13,7.38,7.67,2146.00
apregoar,v,4.12,3.13,4.20,7.06,5.89,360.00
aprender,v,3.92,5.68,4.63,2.44,10.48,35690.00
apresentar,v,4.10,5.06,4.12,4.56,11.83,137469.00
apressar,v,3.16,3.92,3.37,6.12,8.27,3905.00
aprestar,v,4.41,2.51,4.21,7.56,3.81,45.00
aprimorar,v,3.71,3.70,3.98,6.93,8.09,3251.00
aprisionar,v,3.94,2.54,4.19,6.68,6.41,607.00
aproar,v,4.41,2.63,4.31,7.01,3.18,24.00
aprofundar,v,2.91,3.76,3.05,7.57,8.97,7862.00
aprontar,v,4.59,3.36,4.61,5.14,7.01,1104.00
apropriar,v,3.37,3.22,3.78,7.92,6.43,623.00
aprovar,v,3.70,4.14,3.51,6.77,10.26,28462.00
aproveitar,v,2.98,4.89,3.65,5.28,10.49,35847.00
aprovisionar,v,4.13,2.64,3.85,7.19,4.23,69.00
aproximar,v,3.44,4.75,4.10,5.90,9.62,15076.00
aprumar,v,4.26,2.77,4.15,8.00,3.56,35.00
apunhalar,v,4.65,3.30,5.15,6.90,5.69,297.00
apupar,v,4.18,2.36,4.09,7.62,3.76,43.00
apurar,v,4.25,3.80,4.00,7.85,9.76,17403.00
aquaplanar,v,4.27,2.73,4.23,7.58,2.08,8.00
aquartelar,v,4.17,2.69,4.11,7.16,3.99,54.00
aquecer,v,4.83,4.50,5.10,4.82,8.30,4039.00
aquiescer,v,4.07,2.73,4.11,7.16,2.71,15.00
aquietar,v,3.62,2.65,3.97,7.19,4.45,86.00
aquilatar,v,2.99,2.90,3.28,8.82,5.18,177.00
arar,v,4.72,2.68,4.40,7.17,5.58,266.00
arbitrar,v,3.83,2.74,3.79,7.48,6.83,923.00
arborizar,v,4.50,2.62,4.41,7.58,3.99,54.00
arcar,v,3.17,3.84,3.60,7.15,8.15,3455.00
arder,v,5.21,3.93,5.46,3.75,7.66,2131.00
arear,v,4.52,2.65,4.33,7.61,3.14,23.00
arejar,v,4.10,3.45,4.32,6.40,5.77,322.00
arengar,v,4.25,2.59,4.33,7.41,3.33,28.00
arfar,v,3.81,2.63,4.02,7.32,5.25,190.00
arguir,v,3.58,2.19,3.49,8.54,5.12,168.00
argumentar,v,2.51,3.71,2.83,7.17,8.15,3469.00
armar,v,3.93,3.40,4.15,5.00,8.24,3781.00
armazenar,v,4.32,4.17,4.25,6.45,8.56,5227.00
aromatizar,v,4.78,2.77,4.42,7.96,4.25,70.00
arpoar,v,4.53,2.72,4.56,7.30,2.20,9.00
arquear,v,5.12,2.70,4.91,6.29,4.47,87.00
arquejar,v,4.48,2.33,4.32,7.68,4.09,60.00
arquitetar,v,3.33,2.50,3.86,8.23,5.23,186.00
arquivar,v,3.93,3.15,3.66,6.19,7.73,2283.00
arraigar,v,4.01,2.51,4.07,7.46,2.30,10.00
arrancar,v,4.48,4.55,4.81,3.83,9.20,9917.00
arranhar,v,4.84,3.42,5.03,5.88,6.24,512.00
arranjar,v,4.38,5.02,4.35,4.23,9.46,12824.00
arrasar,v,4.15,3.41,4.74,6.04,7.49,1783.00
arrastar,v,4.12,4.37,4.54,5.04,8.39,4404.00
arrazoar,v,4.15,2.79,4.15,7.33,2.71,15.00
arrear,v,4.61,2.79,4.41,7.17,4.19,66.00
arrebanhar,v,4.15,2.54,4.18,7.31,4.65,105.00
arrebatar,v,3.49,2.91,3.78,6.56,6.46,636.00
arrebentar,v,4.51,3.71,4.70,5.10,7.03,1126.00
arrecadar,v,4.24,3.73,4.22,6.46,8.70,5986.00
arredar,v,3.26,3.19,3.39,5.98,5.86,352.00
arredondar,v,4.41,3.46,4.35,6.60,5.73,309.00
arrefecer,v,4.19,3.75,4.28,6.12,6.90,993.00
arregaçar,v,4.80,3.69,4.80,7.04,5.82,336.00
arregalar,v,3.91,3.14,4.26,7.43,4.29,73.00
arreganhar,v,4.44,3.02,4.36,6.60,3.09,22.00
arregimentar,v,3.64,2.61,3.88,7.86,5.76,318.00
arreliar,v,4.07,2.67,4.14,6.92,3.53,34.00
arrematar,v,4.34,2.80,4.08,7.33,5.97,390.00
arremedar,v,4.08,2.71,4.08,7.44,3.33,28.00
